Age,Gender,UndergraduateMajor,Undergraduate GPA,Years of Work Experience,CurrentJobTitle,Annual Salary (Before MBA),HasManagementExperience,GRE/GMAT Score,Undergrad University Ranking,Entrepreneurial Interest,Networking Importance,MBAFundingSource,DesiredPostMBArole,Expected Post-MBA Salary,LocationPreference,ReasonforMBA,OnlineorOnCampus,DecidedToPursueMBA
31,0,1,2.4,6,0,30555,1,760,174,2.3,3.8,0,5,166030,0,1,1,1
30,0,0,3.09,7,3,56624,0,471,222,3.6,2.8,1,2,136291,1,3,0,0
32,1,1,3.95,5,0,50417,0,696,94,2.9,6.8,2,5,183695,0,3,1,0
32,1,2,3.39,4,1,113083,0,665,481,6.1,6.3,1,5,128025,0,0,1,0
34,1,1,2.98,9,0,101564,0,477,145,4.7,9.0,1,2,72613,1,2,1,1
34,2,4,3.55,8,0,75978,1,530,167,3.9,8.1,3,5,188208,1,3,1,1
34,0,4,3.47,4,3,62498,1,787,80,4.2,1.9,1,1,152764,0,2,1,0
23,1,1,3.78,8,3,81172,0,257,289,5.2,9.0,0,1,78468,0,1,0,1
32,1,1,2.41,3,0,70453,0,446,367,4.8,2.1,3,5,98133,1,2,0,1
27,2,4,3.72,4,0,36023,0,396,450,7.4,2.8,3,1,134882,1,2,0,0
24,2,1,2.6,0,5,119364,1,736,66,7.2,5.5,2,0,89770,0,1,0,0
29,1,3,3.88,5,1,81092,0,447,472,1.2,2.0,3,4,136348,0,0,0,0
23,0,4,2.56,2,5,83548,1,496,133,7.4,3.0,0,5,168859,1,3,0,0
25,1,0,3.85,9,3,92533,1,436,164,3.0,5.0,2,2,123415,0,2,1,1
23,0,4,3.93,1,5,37016,0,382,259,4.8,3.2,0,0,97109,0,0,1,0
27,1,2,2.29,5,5,88554,0,408,360,3.0,9.5,1,2,80499,1,3,0,0
25,1,3,3.95,0,0,83405,1,646,160,2.1,2.5,2,2,192401,0,0,0,1
29,0,0,2.17,8,0,39546,1,367,142,6.3,6.2,3,4,128880,1,0,0,1
27,1,1,2.44,4,1,68793,0,634,378,9.6,5.5,3,1,67776,1,2,0,0
22,0,2,2.89,6,4,70344,1,381,422,4.3,5.1,0,2,65814,0,0,0,1
24,0,2,3.99,9,4,102143,1,623,247,7.1,3.1,0,5,192258,0,0,0,0
29,0,3,2.98,8,5,56706,0,653,491,5.1,2.7,2,5,107755,0,1,0,1
32,1,0,3.1,8,1,70521,1,598,133,2.6,3.7,0,0,110849,0,2,0,1
34,1,2,3.39,6,1,53406,0,281,485,9.3,6.3,1,0,133094,1,2,0,0
22,1,0,3.94,3,3,66035,0,346,174,5.0,6.2,0,2,137232,1,3,1,1
30,0,0,3.57,3,0,44542,1,588,474,1.1,8.0,3,4,188759,1,3,1,0
29,1,2,2.45,6,3,100790,0,636,184,5.1,3.7,1,1,89214,1,1,0,1
30,1,0,2.61,7,4,99739,1,434,465,1.1,7.4,2,4,124906,0,2,0,0
25,0,3,2.2,6,1,68658,1,433,316,8.1,8.9,2,4,121106,0,1,0,1
22,0,2,3.29,9,4,42452,0,300,83,4.3,8.7,1,0,73063,1,2,0,0
24,0,3,2.36,3,0,52681,0,251,75,6.5,5.2,3,1,60638,0,1,0,0
32,1,3,2.51,3,0,50826,0,326,263,7.9,7.0,2,2,72292,0,1,0,0
32,1,0,3.78,7,0,47432,1,728,397,1.2,8.5,2,4,125581,1,2,1,1
27,1,0,2.65,8,4,48343,0,711,115,5.7,2.4,0,2,106510,0,1,0,1
32,0,2,3.13,6,1,82850,0,648,153,6.7,9.6,3,0,101864,1,3,1,1
33,1,1,2.8,2,3,84827,0,288,498,5.2,6.4,0,2,108454,0,1,1,1
28,0,2,2.15,9,1,70659,0,795,112,3.8,3.5,1,5,185373,0,0,0,0
23,0,3,2.73,0,1,94237,0,500,140,5.2,5.7,3,1,104198,1,0,1,1
34,1,0,2.82,4,5,77841,0,315,31,4.5,7.6,2,4,65161,0,0,0,0
21,0,3,3.79,5,1,72201,0,678,220,6.5,8.4,0,0,133405,1,0,0,1
24,1,4,2.65,8,3,50314,0,602,271,5.2,3.8,1,2,151555,1,2,0,0
22,0,4,2.76,4,5,84517,0,632,97,2.2,4.1,3,0,111746,0,1,1,0
28,1,3,3.57,0,1,77416,0,276,11,1.8,8.4,2,5,176129,1,3,0,0
24,0,1,3.52,3,5,104603,1,316,103,2.5,8.6,0,0,151288,0,1,0,1
22,1,1,3.6,1,1,41912,0,749,416,1.6,7.2,1,1,147654,0,2,0,1
34,0,2,3.91,3,0,109637,0,661,464,3.3,7.2,2,1,142419,0,3,1,1
26,0,2,3.59,6,0,85755,1,619,265,1.6,3.3,3,1,162146,0,3,0,1
26,1,2,2.82,8,1,45941,1,685,52,6.4,9.6,1,5,190372,1,0,0,1
30,0,0,3.64,2,5,84938,1,310,169,5.0,8.7,2,1,106980,1,0,0,1
24,1,1,3.02,2,3,44591,0,299,140,3.3,8.8,1,5,89201,1,2,0,1
26,2,3,2.56,3,0,58281,0,774,83,1.1,2.8,0,4,122117,1,2,0,1
33,0,4,2.61,6,5,41730,1,445,462,2.3,9.9,1,5,171803,1,3,0,1
22,0,1,2.45,5,3,39011,1,619,268,7.0,5.0,2,2,157273,1,3,1,1
30,1,1,2.29,4,5,66677,0,524,448,3.2,7.1,2,1,71983,0,1,1,1
32,2,1,2.37,3,1,92969,0,465,344,4.0,9.1,3,0,176575,1,1,0,0
22,1,2,2.13,7,0,74976,1,541,73,1.7,1.9,3,5,146540,0,2,1,1
30,1,0,3.78,3,0,97420,0,575,469,5.9,3.9,3,4,174242,1,2,1,0
34,1,3,3.86,2,0,100038,0,774,140,8.2,4.3,1,2,124413,0,0,1,0
24,0,2,3.17,6,1,58564,0,785,109,4.2,8.0,0,4,91714,1,1,1,0
34,2,0,3.68,1,3,37497,0,423,37,2.0,3.7,3,4,123172,1,1,0,0
28,2,1,2.37,3,3,38298,1,679,133,9.6,4.5,2,2,125586,1,0,0,0
34,0,0,3.8,7,0,40887,0,284,9,5.6,4.4,1,1,65290,1,0,1,0
27,0,2,3.01,3,3,40677,0,413,185,1.8,9.2,1,0,135378,0,2,0,0
32,0,1,2.13,9,0,59362,0,643,243,5.5,1.0,1,2,198441,0,2,1,1
29,0,2,2.28,6,3,50413,1,517,148,1.4,2.3,0,1,89204,1,0,1,1
34,1,3,2.62,1,0,64193,0,574,70,1.5,9.4,3,1,60801,0,2,0,1
28,0,1,2.09,4,3,100141,0,653,232,3.9,6.5,1,5,151636,0,1,0,1
25,0,0,2.62,3,5,110563,0,286,370,7.1,1.8,1,1,116400,0,1,1,1
33,0,2,2.12,8,0,50440,0,745,382,7.3,5.3,0,2,185944,0,3,1,0
22,2,4,2.47,6,0,95776,1,779,397,9.1,9.4,1,1,146529,0,0,0,0
25,1,0,2.53,8,4,47880,1,360,336,2.0,7.8,2,5,97372,1,3,1,0
28,0,0,3.99,9,0,76365,1,737,468,5.2,3.3,1,5,164217,0,2,0,1
30,0,1,2.47,6,3,89850,0,474,133,5.3,4.9,1,0,121771,0,2,1,1
29,2,0,2.48,1,5,59466,0,546,118,5.1,5.4,2,2,130581,0,1,1,1
32,1,2,3.37,1,5,41164,1,446,171,8.6,7.9,1,2,137215,0,1,0,1
32,0,4,3.72,1,3,58595,0,578,337,8.3,8.0,1,0,63558,0,0,0,0
32,0,3,2.77,4,1,81913,0,346,182,5.6,3.6,2,2,153036,1,0,1,1
33,0,4,3.75,0,0,63373,0,697,318,8.0,7.5,1,4,72276,0,3,0,1
29,0,2,2.68,6,5,61178,0,407,266,1.5,9.8,2,5,74306,1,2,1,1
33,1,1,2.39,1,3,31038,0,743,158,5.8,1.7,1,4,144884,0,2,1,1
33,1,2,2.66,3,5,63174,1,266,263,1.9,8.3,2,1,102876,1,2,0,1
21,0,0,3.22,8,5,96607,1,796,185,8.8,6.3,3,0,171362,1,0,0,1
29,1,1,2.73,7,3,119750,1,585,139,5.5,4.4,2,4,151324,1,1,0,0
27,0,3,3.35,9,4,83361,0,673,200,1.2,8.1,1,1,71494,0,0,0,0
29,1,3,2.47,1,5,51005,0,652,307,5.9,3.9,0,2,86631,1,3,0,0
28,1,2,3.4,3,5,118008,1,680,64,7.6,4.0,3,2,153772,0,2,1,1
21,0,0,2.69,3,1,75877,1,742,229,2.2,5.5,2,1,84153,1,1,1,1
32,0,3,2.91,1,4,50827,1,693,31,3.5,5.1,2,1,163848,0,3,1,0
28,1,4,3.12,1,1,92405,1,260,112,5.0,2.2,2,1,73133,1,2,0,1
28,0,1,3.37,4,3,77274,0,788,1,4.7,1.2,1,1,67948,0,3,1,0
31,0,4,2.48,3,0,80604,0,519,89,5.5,6.7,1,1,182300,1,2,0,1
23,1,3,3.67,7,3,114373,1,375,442,1.1,4.0,1,0,74139,1,0,0,1
21,2,3,3.44,3,4,98523,1,371,348,7.6,5.7,2,1,96349,0,1,0,1
28,0,2,2.47,7,3,49173,0,601,215,3.8,2.8,0,2,163129,1,2,1,1
23,1,2,3.95,4,4,30200,1,617,307,7.3,6.1,3,2,176036,1,3,0,1
23,0,1,3.33,0,1,70593,0,641,349,8.7,4.0,1,0,72135,1,1,0,0
21,1,2,2.9,8,5,52584,1,324,406,7.2,6.5,3,1,129018,0,1,0,1
31,1,0,2.32,7,3,109956,0,699,202,7.0,7.1,0,5,171559,0,0,1,0
25,1,1,3.07,0,3,88126,0,254,46,6.2,1.0,1,2,62790,1,0,1,1
30,0,0,2.33,2,5,35225,1,407,401,1.0,4.9,2,1,70454,0,3,0,1
27,1,2,2.86,2,3,100457,1,485,269,9.1,7.5,1,5,135081,0,0,0,1
30,1,1,2.82,4,3,66481,0,738,336,8.5,7.7,2,5,61293,1,1,1,0
29,0,3,3.44,6,0,52036,0,452,379,2.8,4.4,0,4,61345,1,0,1,0
32,0,4,2.38,0,0,39130,0,611,371,2.6,8.4,1,5,120541,1,3,1,1
27,0,3,3.64,0,5,65884,0,580,76,1.3,6.9,3,5,75016,1,3,0,0
29,0,0,2.65,9,1,56996,0,570,240,4.4,9.9,3,2,88830,0,1,1,1
28,1,3,2.89,5,3,84342,1,506,113,9.9,5.6,1,5,174922,0,2,0,1
32,0,3,3.54,4,3,71723,1,625,207,1.9,4.4,1,5,182931,0,2,1,1
22,0,4,3.25,2,1,67387,1,424,295,6.1,9.3,1,2,118026,0,0,0,0
21,1,4,2.62,2,3,89142,1,578,275,3.4,4.6,3,4,197236,0,0,0,0
27,0,3,2.77,3,1,100724,0,532,213,8.8,6.8,3,4,108925,1,2,1,0
27,1,4,2.61,9,5,92574,1,543,317,5.6,8.4,2,1,196746,0,2,0,1
34,0,3,3.19,1,5,67734,1,652,96,8.7,5.1,3,1,113436,1,1,0,0
28,2,1,2.67,8,1,104997,1,449,389,9.4,5.0,0,5,77151,0,0,1,0
25,1,3,3.45,3,1,46342,1,282,57,6.7,3.6,3,5,107648,0,3,0,0
23,1,2,3.16,9,4,53924,1,757,47,3.5,9.7,1,1,64740,0,1,0,1
32,0,4,2.29,2,0,116113,1,390,335,5.0,9.5,3,1,101016,1,0,0,1
28,1,4,2.62,9,0,73800,0,292,160,6.7,5.2,3,5,164484,0,1,0,1
26,0,0,2.44,6,3,51825,0,667,1,6.9,3.9,3,2,147125,0,1,1,1
31,0,0,2.78,8,3,110690,0,525,207,1.6,2.2,0,2,122951,0,0,0,0
23,0,2,3.03,1,1,71633,0,331,35,4.2,5.3,0,2,60740,0,1,0,1
21,1,4,3.01,5,1,67372,0,462,212,5.8,9.0,0,1,145800,0,2,1,1
23,0,4,3.51,4,0,71901,1,446,159,4.0,8.8,0,4,174757,1,2,1,1
25,1,0,2.38,0,3,47326,0,294,404,6.2,2.0,3,1,164667,1,0,0,0
34,0,0,3.89,6,0,99279,0,779,303,2.6,5.4,1,2,112111,0,3,0,1
23,0,3,2.69,0,5,101819,1,552,24,1.3,8.3,1,0,67340,1,3,1,0
21,1,4,2.6,9,0,66604,0,762,40,4.1,8.5,1,2,110440,0,0,0,0
25,0,4,3.37,8,0,110274,1,577,330,6.1,9.4,1,0,95298,0,2,1,1
30,1,3,3.61,3,1,39381,1,286,334,1.1,2.8,3,2,90642,1,1,0,1
27,0,4,2.76,7,3,75816,1,269,249,6.5,4.7,0,2,138234,1,3,0,1
34,1,2,3.49,0,5,73913,0,600,483,4.2,9.6,3,0,68431,1,0,1,0
27,1,0,3.77,4,0,40505,0,435,382,9.9,3.4,0,2,77343,1,2,1,1
31,0,0,3.53,2,0,92818,1,290,192,8.0,4.0,2,0,185100,0,3,0,0
29,0,0,2.07,3,1,45414,0,549,93,3.6,3.0,2,0,115825,1,1,1,1
30,1,1,3.65,3,4,102927,1,626,201,9.7,5.8,3,1,162981,1,2,1,1
30,1,2,3.55,7,3,54311,1,484,120,3.5,5.8,0,4,194874,1,0,1,1
32,0,2,3.34,9,3,64677,1,668,244,2.0,8.4,2,1,180081,0,2,0,0
33,0,3,3.52,9,3,89590,0,330,138,1.2,4.7,0,4,122538,0,0,1,0
23,1,1,3.96,2,0,65442,0,276,256,8.1,3.3,2,4,132513,1,3,1,0
27,1,4,2.86,0,0,33324,1,270,117,3.9,8.5,2,2,179377,0,2,1,1
21,0,2,2.13,4,0,117753,0,545,445,9.9,6.8,2,0,179566,1,3,1,0
24,0,1,2.92,1,4,98138,0,421,2,6.6,2.4,2,4,140629,0,0,1,1
33,0,1,2.09,5,0,117717,1,629,279,2.5,6.1,0,4,62702,0,2,1,0
24,1,2,2.59,3,3,95690,0,398,338,4.0,5.1,2,4,141769,0,1,0,1
34,0,3,3.17,8,3,57423,0,769,193,5.6,8.6,0,0,96189,1,2,0,1
25,2,1,2.62,6,1,93151,0,414,442,7.5,6.4,2,5,130089,0,0,1,0
27,0,0,3.37,1,4,42057,0,667,395,6.3,8.1,2,4,167891,1,3,0,1
27,0,1,3.64,6,5,91397,0,622,357,3.3,5.2,2,0,173019,1,3,0,0
33,1,4,2.84,9,0,74601,1,357,381,5.3,9.8,0,0,65125,1,1,1,0
31,1,2,3.8,7,5,73339,1,565,420,2.9,8.2,1,5,102926,0,0,0,1
33,1,4,2.16,2,0,50887,0,694,353,4.1,6.4,0,1,154484,1,3,0,1
24,0,3,3.68,2,4,31527,0,679,63,3.6,8.3,3,4,66346,1,3,0,1
33,1,0,3.66,1,4,47069,0,734,36,9.1,3.9,3,5,157384,1,2,1,1
27,1,2,2.64,0,3,105193,0,468,441,8.1,9.8,1,5,154084,0,0,1,1
31,0,1,2.6,2,4,46348,1,747,472,5.8,4.7,3,1,107493,0,2,1,0
23,0,0,2.61,9,5,61999,1,498,345,2.6,4.3,1,4,116426,1,1,0,0
26,0,1,3.62,6,5,51593,0,523,279,6.3,8.1,0,5,118911,0,0,0,0
32,0,3,3.66,8,4,42428,0,617,438,4.2,6.7,3,5,187931,0,3,0,0
22,1,2,2.66,8,5,112789,0,446,63,1.3,7.9,2,1,73985,0,2,0,0
30,0,3,3.19,5,0,98613,1,755,214,7.2,8.0,2,5,96066,0,2,1,0
33,2,3,2.28,5,1,58389,1,339,33,3.3,6.7,0,2,117303,0,3,1,1
34,1,3,2.94,4,3,30904,1,563,175,3.1,8.6,1,4,150981,0,2,0,1
29,1,3,4.0,1,1,43651,0,345,19,7.0,7.5,0,4,136810,0,1,1,1
25,1,1,2.32,6,5,96778,0,539,418,8.8,6.2,2,1,122963,1,1,0,1
26,0,4,3.9,0,3,73586,0,368,279,3.5,7.9,1,5,109006,0,1,0,0
32,0,1,3.65,5,1,98247,0,298,110,8.0,5.5,3,2,167345,1,2,1,1
32,0,0,3.94,3,1,31294,1,773,474,9.0,5.4,1,2,95641,1,0,0,1
32,1,3,2.36,2,5,68705,1,503,86,2.9,4.1,1,2,138502,0,1,1,1
32,0,0,2.43,0,3,97092,1,399,451,9.3,8.6,0,5,83907,1,1,0,1
24,1,1,2.03,5,3,57136,0,718,4,3.5,3.7,0,0,148475,1,0,0,1
34,0,3,3.45,6,1,112656,0,561,97,3.0,3.3,1,1,111872,1,2,1,1
34,0,1,3.29,0,3,79930,0,699,459,4.2,3.0,2,0,61176,0,1,1,0
31,0,3,2.36,0,3,68293,0,451,84,3.1,6.9,3,1,186968,1,1,0,1
30,1,1,3.58,6,0,70293,0,623,242,6.2,2.8,3,4,123845,1,1,1,1
27,1,2,2.6,5,5,42375,0,638,128,5.3,8.8,1,4,152585,1,0,1,1
32,0,4,2.27,6,5,60064,0,711,96,7.0,7.3,2,5,136714,0,3,0,1
29,1,4,2.85,7,0,100320,1,654,181,7.5,8.1,0,1,70910,1,3,1,1
27,0,3,2.18,7,1,87152,0,255,112,1.7,2.3,0,0,193904,0,2,0,1
34,2,2,2.53,8,4,102330,0,288,399,2.4,1.1,2,4,170655,1,3,0,1
21,1,0,2.74,8,1,61682,0,401,473,8.1,1.7,2,5,121111,1,2,0,0
21,0,2,3.7,6,0,101233,1,290,121,1.6,7.1,0,4,87634,0,0,0,0
29,1,3,3.59,8,3,98383,1,368,273,6.9,1.9,0,0,124557,0,1,1,1
31,0,2,2.89,5,0,99647,0,572,406,7.0,5.2,0,1,145414,0,0,1,1
34,2,0,3.45,8,5,56991,1,482,418,7.6,8.2,0,2,144055,1,1,1,1
29,0,3,3.14,1,3,52778,0,287,417,3.0,4.2,3,4,152131,1,0,1,1
24,1,4,2.68,1,1,108617,1,533,25,2.4,1.4,2,1,130561,1,2,1,0
33,0,2,3.45,5,3,75415,0,500,14,5.0,9.0,1,4,157547,1,1,1,1
29,1,4,3.37,2,5,103958,1,401,110,1.4,7.4,0,1,145128,0,1,0,1
23,1,4,3.24,1,0,60537,0,617,306,8.6,1.3,2,0,193383,1,0,1,1
27,1,1,3.24,7,1,86572,1,320,30,7.7,3.9,0,2,176352,1,3,1,0
26,1,0,3.37,6,4,70887,0,464,470,9.0,4.4,1,4,89961,1,0,0,1
28,1,2,2.77,7,4,92051,1,464,22,1.6,8.8,3,5,140196,0,3,1,1
31,0,4,3.74,5,0,69517,1,501,339,9.3,1.8,2,5,148341,0,2,1,1
29,0,4,2.32,8,1,41656,0,299,102,7.8,7.9,0,4,180751,1,0,0,1
34,0,0,3.77,8,1,96054,1,604,260,2.0,9.8,1,1,183209,1,1,1,1
25,2,4,2.68,1,3,105840,0,266,72,1.9,4.5,2,1,188254,0,1,0,0
21,0,4,2.25,9,0,40458,1,624,301,9.1,1.2,3,4,104994,0,2,0,0
23,1,4,3.2,4,3,66619,0,480,116,5.2,3.2,2,1,95050,1,3,0,1
30,1,4,2.75,8,0,67772,0,348,256,10.0,2.1,1,4,166232,0,3,0,0
32,0,1,3.63,2,5,55609,0,664,487,6.7,8.1,3,0,161613,0,2,1,1
28,0,1,2.86,4,0,104493,0,330,330,7.2,4.2,3,2,110877,1,1,1,1
31,0,3,3.34,7,3,111575,0,472,114,5.2,9.1,1,1,95152,1,2,0,1
26,0,2,2.62,1,1,108754,0,579,28,4.9,9.2,0,2,82595,0,3,1,0
28,0,0,2.42,5,0,117972,1,581,182,8.2,4.3,3,0,177257,0,2,1,1
29,0,3,2.78,3,1,70975,0,367,186,5.0,6.4,0,5,125796,1,1,1,1
24,1,1,3.21,5,5,110416,0,779,341,5.5,9.5,1,0,181972,0,3,0,1
21,2,1,3.31,2,4,86244,1,364,321,4.5,1.8,3,0,169381,0,3,1,1
34,0,1,3.16,5,4,105298,0,454,251,2.8,8.0,1,1,119124,1,0,1,0
21,0,3,3.98,6,3,93670,1,690,421,8.6,1.4,0,5,167664,1,1,0,1
30,0,1,3.38,9,0,76181,0,624,182,3.0,5.0,3,2,177342,1,0,1,0
24,1,3,3.86,2,5,67195,0,567,354,3.7,5.6,1,5,85296,1,0,0,0
32,1,1,2.24,4,5,62846,0,637,395,6.3,5.9,3,0,103063,1,3,1,0
34,0,4,2.12,7,1,57664,0,551,144,3.9,8.6,2,5,169948,0,3,1,1
27,0,4,2.62,1,3,80970,1,328,487,4.2,2.9,1,1,98654,1,1,1,0
22,1,2,2.27,6,5,39236,1,731,206,1.0,5.0,1,1,134237,1,2,0,1
23,1,1,3.05,0,0,110794,1,442,252,8.2,3.5,1,0,114691,0,0,0,0
21,0,2,3.04,6,5,105339,1,511,449,5.4,6.3,0,4,76570,1,0,1,0
25,1,3,3.15,0,4,95967,0,376,351,2.8,6.0,2,5,138724,1,3,1,0
21,0,2,3.49,3,3,57179,0,432,172,7.4,8.1,2,2,108100,0,1,0,0
28,0,1,3.94,3,1,43336,0,711,171,6.9,2.6,1,0,140588,1,1,1,1
21,1,3,3.76,4,0,110174,1,409,241,4.4,8.3,0,4,110465,1,3,1,1
31,1,3,2.24,1,4,94790,0,700,460,6.2,4.1,0,5,112387,0,0,1,1
21,0,4,2.68,5,5,76897,1,359,411,7.0,6.1,1,4,196229,1,2,0,1
22,1,3,2.51,5,3,78192,0,329,337,1.6,3.1,1,0,180031,0,2,0,0
22,0,3,2.35,7,3,83502,1,672,242,4.8,5.3,0,5,84715,1,3,0,1
32,1,2,3.09,9,0,71231,0,474,80,5.7,2.5,0,4,67114,0,1,0,0
26,0,3,3.11,0,1,58283,0,766,257,7.5,7.2,3,4,91930,0,2,0,1
27,1,0,2.45,3,4,77102,0,476,247,4.4,1.4,2,1,168873,1,2,0,1
25,1,4,3.42,1,1,67199,1,656,30,2.5,6.4,1,0,108781,0,2,0,1
21,0,4,3.47,7,0,71717,1,723,123,1.8,7.8,0,2,153093,1,2,0,1
21,1,3,2.04,3,0,99839,0,423,192,8.3,8.9,0,0,70255,1,2,0,0
23,1,2,2.79,7,4,71073,0,640,421,5.3,8.4,2,0,101477,0,2,1,0
34,1,4,3.78,1,3,117071,0,354,407,3.1,9.1,2,1,183108,0,3,1,1
22,0,4,3.04,3,3,94252,0,311,27,8.2,6.5,3,2,157400,1,1,1,1
25,1,0,2.7,8,4,35016,1,256,357,8.3,1.5,1,1,113170,1,3,0,0
32,1,3,2.51,4,1,64730,1,776,80,6.9,9.7,2,0,87594,1,2,1,1
30,0,4,2.49,5,4,93643,1,374,88,2.1,8.0,1,4,123534,0,1,0,1
26,2,4,2.2,9,3,33065,0,781,156,3.7,6.3,2,4,111558,1,1,1,0
27,0,4,3.63,8,1,66716,0,617,414,8.9,5.1,1,0,161919,0,2,0,1
24,0,4,2.17,8,5,37106,0,559,474,2.1,1.9,3,5,129060,0,0,0,1
27,1,2,2.58,6,1,93326,0,683,88,7.3,1.1,1,0,91336,1,0,0,0
31,1,1,2.09,1,3,77456,1,682,351,3.3,4.9,1,0,115664,1,3,1,0
28,1,0,3.56,6,0,47312,0,508,217,1.3,9.8,0,5,166278,1,0,1,0
31,0,2,2.08,8,1,68190,0,697,179,7.2,5.7,1,5,97883,0,1,0,1
21,2,0,2.62,1,1,108965,0,496,130,3.4,4.5,0,1,106990,0,3,0,0
26,0,4,3.15,6,0,73042,1,685,253,7.7,5.1,2,4,62137,1,3,1,1
28,0,0,2.82,6,3,98451,1,286,71,4.3,3.7,0,5,101642,1,0,0,1
25,0,3,2.56,2,5,55919,0,309,368,3.0,9.8,0,0,167305,1,2,1,1
24,1,3,2.55,5,5,91657,0,681,87,9.2,2.2,0,2,169756,0,3,0,1
22,1,1,3.6,7,4,117307,0,663,349,4.2,7.3,2,2,125860,1,2,0,0
26,1,1,3.95,9,5,44199,0,465,35,9.2,5.1,1,1,136382,0,2,0,1
26,1,0,2.7,7,5,73051,1,387,94,9.7,2.4,1,2,97101,1,2,1,0
31,0,2,2.08,2,1,39389,1,576,413,4.7,6.3,2,4,106512,0,2,0,0
21,1,2,2.07,5,4,91194,1,251,415,7.5,6.4,1,0,147304,1,2,1,0
29,0,4,3.52,1,5,39048,1,745,370,4.6,2.6,1,2,177632,0,0,0,0
32,0,2,3.1,1,1,89322,1,717,426,6.9,5.1,3,4,185498,0,0,0,1
31,0,1,3.57,7,4,61546,1,475,194,7.9,9.1,1,2,129850,1,1,0,0
26,1,2,3.39,9,1,94417,1,488,435,6.7,2.0,3,0,163076,1,2,0,1
